City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ushuaia,AR,33.46,light snow,-54.8,-68.3,Albatros Hotel
3,Emerald,AU,51.94,clear sky,-23.5333,148.1667,The Irish Village
7,Busselton,AU,57.09,broken clouds,-33.65,115.3333,Observatory Guest House
8,Mataura,NZ,45.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
10,Codrington,AU,49.32,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
12,Mahebourg,MU,68.29,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
14,Hermanus,ZA,64.22,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
15,Airai,TL,55.9,scattered clouds,-8.9266,125.4092,Juvinal Martin
17,Punta Arenas,CL,41.11,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
18,Bambous Virieux,MU,68.25,light rain,-20.3428,57.7575,Casa Tia Villa
21,Tinskoy,RU,67.98,few clouds,56.1525,96.9161,Kalinin
26,Te Anau,NZ,41.86,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
28,East London,ZA,67.14,clear sky,-33.0153,27.9116,Tu Casa
30,Tuatapere,NZ,45.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
33,Bluff,NZ,45.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
35,Hobart,AU,55.02,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
36,Kodiak,US,53.11,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
37,New Norfolk,AU,54.66,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
39,Port Alfred,ZA,67.96,overcast clouds,-33.5906,26.891,The Halyards Hotel
43,Yellowknife,CA,61.32,broken clouds,62.456,-114.3525,The Explorer Hotel
51,Mar Del Plata,AR,55.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
54,Leshukonskoye,RU,50.63,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
55,Nuuk,GL,56.01,few clouds,64.1835,-51.7216,Vandrehuset
62,Coquimbo,CL,58.73,clear sky,-29.9533,-71.3436,Punto de encuentro
69,Cidreira,BR,63.66,moderate rain,-30.1811,-50.2056,Hotel Castelo
71,Quatre Cocos,MU,68.11,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
73,Fortuna,US,66.18,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
80,Igrim,RU,56.8,broken clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
84,Richards Bay,ZA,64.56,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
85,Loukhi,RU,61.21,scattered clouds,66.0764,33.0381,Хостел Северяночка
88,Ilulissat,GL,50.02,broken clouds,69.2167,-51.1,Hotel Arctic
90,Dalvik,IS,60.73,broken clouds,65.9702,-18.5286,Dalvík HI Hostel
97,Rio Tercero,AR,60.8,clear sky,-32.173,-64.1141,"Hotel Vélez Sarsfield ""Low Cost"""
102,Nanortalik,GL,50.9,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
106,Esperance,AU,53.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
108,Klaksvik,FO,52.72,overcast clouds,62.2266,-6.589,Airbnb rooms
109,Presidencia Roque Saenz Pena,AR,70.0,broken clouds,-26.7852,-60.4388,Hotel Gualok
110,Usinsk,RU,45.16,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
111,Pacific Grove,US,62.46,overcast clouds,36.6177,-121.9166,Lovers Point Inn
112,Maneadero,MX,68.18,overcast clouds,31.7167,-116.5667,Casa De Thompson
114,Moron,AR,58.01,broken clouds,-34.6534,-58.6198,Hotel Morón
115,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
117,Constitucion,CL,52.59,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
118,Karuzi,BI,68.54,scattered clouds,-3.125,30.1333,Hôtel Cercle La Girafe
120,Sitka,US,51.69,few clouds,57.0531,-135.33,Westmark Sitka
121,Qaanaaq,GL,43.57,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
130,Muravlenko,RU,52.93,overcast clouds,63.7898,74.523,Hostel Rus Muravlenko
131,Cap-Aux-Meules,CA,64.45,light intensity drizzle,47.3821,-61.8597,Auberge Madeli
132,Tuktoyaktuk,CA,44.6,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
133,Lagoa,PT,69.75,broken clouds,39.05,-27.9833,Casa Das Faias
134,Kabare,CD,64.92,overcast clouds,-2.4683,28.8242,Hôtel Panorama
135,Mildura,AU,49.96,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
141,Norman Wells,CA,57.24,broken clouds,65.282,-126.8329,Heritage Hotel
145,Port Elizabeth,ZA,68.09,clear sky,-33.918,25.5701,39 On Nile Guest House
146,Pevek,RU,35.38,broken clouds,69.7008,170.3133,Hotel ABC
148,Clyde River,CA,37.63,overcast clouds,70.4692,-68.5914,Qamaq Hotel
149,Nome,US,48.27,mist,64.5011,-165.4064,Dredge 7 Inn
157,Nikolo-Pavlovskoye,RU,55.0,broken clouds,57.7831,60.0578,"Kafe-Otel' ""Dom Vkusa"""
159,Derzhavinsk,KZ,63.66,clear sky,51.1,66.3167,Ooo.khim Baza
161,Maldonado,UY,52.99,scattered clouds,-34.6667,-54.9167,La Cimarrona
164,Zhangjiakou,CN,68.4,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
165,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
168,Dunedin,NZ,48.79,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
170,Upernavik,GL,45.28,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
173,Iqaluit,CA,51.53,broken clouds,63.7506,-68.5145,Frobisher Inn
175,Ngunguru,NZ,49.15,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
180,Hay River,CA,62.58,few clouds,60.8156,-115.7999,Ptarmigan Inn
182,Noumea,NC,69.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
185,Inta,RU,50.83,overcast clouds,66.0317,60.1659,Apartments in Inta city
193,Betioky,MG,66.29,broken clouds,-23.7167,44.3833,Bungalows Acacias Hotel
194,Geraldton,AU,65.12,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
195,Talcahuano,CL,46.08,clear sky,-36.7167,-73.1167,departamento comodo
198,Pangnirtung,CA,51.8,light rain,66.1451,-65.7125,Kilabuk Lodge
203,Skibbereen,IE,64.2,light rain,51.55,-9.2667,The West Cork Hotel
206,Sorland,NO,57.27,scattered clouds,67.667,12.6934,Sjybrygga fiskecamp
210,Aklavik,CA,57.2,light rain,68.2191,-135.0107,Aklavik Inn
214,Torbay,CA,65.75,broken clouds,47.6666,-52.7314,Gallows Cove
216,Swan River,CA,57.09,heavy intensity rain,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
217,Kaeo,NZ,49.32,clear sky,-35.1,173.7833,Bushido Lodge
223,Ulladulla,AU,56.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
225,Half Moon Bay,US,68.59,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
226,Mount Isa,AU,46.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
228,Ucluelet,CA,60.1,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
230,Byron Bay,AU,54.72,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
232,Ancud,CL,45.93,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
233,Mount Gambier,AU,51.71,overcast clouds,-37.8333,140.7667,The Commodore
235,Severo-Kurilsk,RU,57.16,broken clouds,50.6789,156.125,Kak Doma
238,Moose Factory,CA,55.4,broken clouds,51.2585,-80.6094,Moosonee Lilypad
242,Kaitangata,NZ,49.93,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
243,Kruisfontein,ZA,65.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
245,Halifax,CA,68.68,light intensity drizzle,44.6453,-63.5724,Hotel Halifax
246,Beringovskiy,RU,52.45,overcast clouds,63.05,179.3167,Beringgorski
247,Nyahururu,KE,54.61,light rain,0.0421,36.3673,"The Panari Resort, Nyahururu"
249,Tiksi,RU,39.7,overcast clouds,71.6872,128.8694,Arktika
253,Ahipara,NZ,55.09,few clouds,-35.1667,173.1667,Ahipara Holiday Park
257,Lebu,CL,47.59,few clouds,-37.6167,-73.65,Hostal Las Lilas
258,Alice Springs,AU,62.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
262,Barrow,US,39.22,light rain,71.2906,-156.7887,King Eider Inn
268,Broken Hill,AU,53.31,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
270,Brae,GB,58.91,overcast clouds,60.3964,-1.353,Busta House Hotel
271,Eureka,US,52.41,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
274,Antofagasta,CL,64.22,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
281,Xining,CN,57.42,overcast clouds,36.6167,101.7667,Super Leisure Hotel
284,Carnarvon,AU,69.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
286,Umtata,ZA,64.96,clear sky,-31.5889,28.7844,LLZZ Boutique Lodge
287,Dolores,AR,54.12,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
289,Bouloupari,NC,68.95,broken clouds,-21.8667,166.05,Oua-Ya Lodge
299,Wanaka,NZ,44.11,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
304,Chapleau,CA,68.09,smoke,47.8405,-83.4034,Nemegosenda Lake Lodge
311,Nikel,RU,55.58,scattered clouds,69.4128,30.222,Severnoe Siyanie
312,Nelson,NZ,53.29,overcast clouds,-41.2833,173.2833,Rutherford Hotel Nelson
313,La Ronge,CA,62.82,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
315,Kyren,RU,62.49,scattered clouds,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
316,Lompoc,US,64.11,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
321,Tasiilaq,GL,50.16,clear sky,65.6145,-37.6368,The Red House
322,Gold Coast,AU,53.01,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
326,Chuy,UY,54.61,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
330,Stornoway,GB,62.56,fog,58.2093,-6.3865,Caladh Inn
331,Skoghall,SE,63.16,overcast clouds,59.3232,13.4655,Mörudden Camping & Stugby
333,Berlevag,NO,48.0,broken clouds,70.8578,29.0864,Kvitbrakka
335,Port Hardy,CA,57.38,light rain,50.6996,-127.4199,Airport Inn
339,Khatanga,RU,62.94,broken clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
342,Viedma,AR,47.28,scattered clouds,-40.8135,-62.9967,Hotel Cristal
345,Cherskiy,RU,36.93,clear sky,68.75,161.3,Gostinitsa
354,Galesong,ID,69.82,few clouds,-5.3166,119.3661,Sapriadi Appy
365,Bonavista,CA,66.2,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
366,Vallenar,CL,63.9,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
373,Vestmanna,FO,50.92,overcast clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
377,Prince Rupert,CA,57.29,moderate rain,54.3161,-130.3201,Crest Hotel
380,Ginda,IN,68.5,overcast clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
386,Yar-Sale,RU,53.31,broken clouds,66.8333,70.8333,Yalemd
389,San Quintin,MX,67.96,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
390,Vestmannaeyjar,IS,49.19,broken clouds,63.4427,-20.2734,Glamping & Camping
393,Fernie,CA,65.37,clear sky,49.5,-115.0687,Fernie Stanford Resort
402,Zhigansk,RU,54.21,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
407,Kaiyuan,CN,65.16,few clouds,23.6977,103.3037,Dongqi Hotel
408,Molchanovo,RU,61.77,moderate rain,57.5817,83.7692,Yut Inn
416,Olafsvik,IS,49.37,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
419,Bilibino,RU,38.66,scattered clouds,68.0546,166.4372,Gostinitsa Severyanka
420,Chumikan,RU,62.62,overcast clouds,54.7183,135.315,Fortuna
422,Havre-Saint-Pierre,CA,61.16,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
425,Klyuchi,RU,63.03,clear sky,52.2667,79.1667,Vesolaya Mayovka
427,High Prairie,CA,58.3,few clouds,55.4334,-116.4858,Royal Star Motor Inn
430,Plouzane,FR,68.32,broken clouds,48.3833,-4.6167,Carrefour Voyages Plouzané
434,Port Lincoln,AU,53.44,heavy intensity rain,-34.7333,135.8667,Port Lincoln Hotel
437,Longyearbyen,SJ,44.44,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
439,Coihaique,CL,42.75,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
441,Anadyr,RU,52.3,moderate rain,64.75,177.4833,"Гостиница ""Анадырь"""
442,Kenai,US,52.09,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
451,Yulara,AU,48.04,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
452,Valdivia,CL,37.49,clear sky,-39.8142,-73.2459,Hostal Entre Rios
455,Inzer,RU,55.22,scattered clouds,54.2167,57.5556,Инзер Кафе
456,Danilov,RU,69.21,broken clouds,58.1908,40.1717,Sot'.
459,Jumla,NP,66.4,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
460,Thompson,CA,60.96,few clouds,55.7435,-97.8558,Burntwood Hotel
462,Zeya,RU,64.53,overcast clouds,53.75,127.2667,Kapital Inn
471,Verkhoturye,RU,57.69,broken clouds,58.8627,60.8054,Guest house Babinov
474,Voh,NC,60.53,broken clouds,-20.9667,164.7,Le gîte du Koniambo
485,High Level,CA,60.91,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
487,Alyangula,AU,62.47,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
488,Hofn,IS,52.3,overcast clouds,64.2539,-15.2082,Hótel Höfn
489,Medea,DZ,66.65,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
497,Bowen,AU,52.02,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
499,Hailar,CN,58.75,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
506,Vista Hermosa,MX,65.55,clear sky,19.5167,-99.2167,Krystal Satélite María Bárbara
508,Wangaratta,AU,48.4,overcast clouds,-36.3667,146.3333,Quality Hotel Wangaratta Gateway
509,Baiyin,CN,65.28,scattered clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
511,Kiama,AU,59.38,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
520,Port Macquarie,AU,47.37,clear sky,-31.4333,152.9167,Rydges Port Macquarie
523,Grand Gaube,MU,68.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
524,Belyy Yar,RU,69.69,overcast clouds,53.6039,91.3903,Pasportnyy Stol
525,Okato,NZ,50.41,overcast clouds,-39.2,173.8833,Goodin Country Garden
529,Syamzha,RU,61.68,broken clouds,60.0158,41.0614,Hotel Syamzha
532,Qujing,CN,62.98,overcast clouds,25.4833,103.7833,Yulong Hotel
539,Krasnoselkup,RU,59.2,light rain,65.7,82.4667,Krasnosel'kupnefteprodukt
540,Chany,RU,56.01,scattered clouds,55.3121,76.7647,Sakura
542,Rumuruti,KE,60.49,light rain,0.267,36.5389,"Neema Hotel,Near Rumuruti Market"
549,Hualmay,PE,67.44,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
